,id,match_api_id,home_team_api_id,Hometeam_rating,Awayteam_rating,league,avg_player_rating
429,430,665704,9994,66.67679858020766,64.73018052654417,Belgium Jupiler League,65.70348955337592
430,431,665706,8571,60.8695787278675,45.163704922528446,Belgium Jupiler League,53.01664182519797
431,432,665710,10001,58.40421188183566,65.86446988872297,Belgium Jupiler League,62.134340885279315
432,433,665712,9985,72.10357283468085,64.71671188183565,Belgium Jupiler League,68.41014235825824
433,434,665717,9986,52.5958655379708,72.53528168120967,Belgium Jupiler League,62.56557360959023
434,435,665719,9984,64.71349862258954,66.64421752489933,Belgium Jupiler League,65.67885807374444
435,436,665721,9991,67.73605340325598,69.70029926595144,Belgium Jupiler League,68.71817633460371
436,437,665723,8203,65.19684719321083,62.74645262145262,Belgium Jupiler League,63.971649907331724
437,438,665725,9999,56.11793602816621,67.4117865200753,Belgium Jupiler League,61.764861274120754
438,439,665727,9993,64.7111232353763,64.93053124889046,Belgium Jupiler League,64.82082724213339
439,440,665728,8342,70.23066231199631,71.91863965192157,Belgium Jupiler League,71.07465098195894
440,441,665729,8635,72.63419388012186,65.24473264109628,Belgium Jupiler League,68.93946326060907
441,442,665730,9987,69.7326624642414,66.67679858020767,Belgium Jupiler League,68.20473052222454
442,443,665731,10000,65.29272461108381,55.50697346132129,Belgium Jupiler League,60.39984903620255
443,444,665732,9991,61.66107408150247,65.43856749311296,Belgium Jupiler League,63.54982078730771
444,445,665733,8571,66.51683702512581,64.77777777777779,Belgium Jupiler League,65.6473074014518
445,446,665735,10001,64.67574298231413,51.717628623370246,Belgium Jupiler League,58.19668580284219
446,447,665737,9997,65.43856749311294,70.3259004072344,Belgium Jupiler League,67.88223395017367
447,448,665738,9986,58.34793165367328,65.94770296606217,Belgium Jupiler League,62.14781730986772
448,449,665739,9984,64.4521349862259,70.70527167321426,Belgium Jupiler League,67.57870332972007
449,450,665740,9994,66.11949663175739,58.87054817711931,Belgium Jupiler League,62.495022404438345
450,451,665741,8203,65.69609945609946,67.4117865200753,Belgium Jupiler League,66.55394298808739
451,452,665742,9999,55.8588451190753,73.08679683272481,Belgium Jupiler League,64.47282097590005
452,453,665743,9993,65.86446988872297,61.40773650998308,Belgium Jupiler League,63.63610319935302
453,454,665744,8342,68.85594877344876,55.8588451190753,Belgium Jupiler League,62.35739694626203
454,455,665745,8635,73.40240168764001,68.56137819295714,Belgium Jupiler League,70.98188994029857
455,456,665746,9997,63.62327167781712,59.927143029604665,Belgium Jupiler League,61.7752073537109
456,457,665749,10000,66.63255145091067,71.90427816383445,Belgium Jupiler League,69.26841480737255
457,458,665751,9991,61.25224897239274,58.48126498700662,Belgium Jupiler League,59.86675697969968
458,459,665753,8571,67.4117865200753,66.53507583064793,Belgium Jupiler League,66.97343117536161
459,460,665757,10001,64.33792400304777,64.71349862258954,Belgium Jupiler League,64.52571131281866
460,461,665334,8635,72.9576821565513,62.96951806168313,Belgium Jupiler League,67.96360010911721
461,462,665335,9987,66.75482202982202,67.02211897658634,Belgium Jupiler League,66.88847050320419
462,463,665336,9986,53.46176826269706,66.5673773641688,Belgium Jupiler League,60.014572813432935
463,464,665337,9984,64.70137741046833,66.51503171574386,Belgium Jupiler League,65.60820456310609
464,465,665338,9994,53.946969696969695,59.76914600550965,Belgium Jupiler League,56.85805785123967
465,466,665340,8203,65.1330376694013,69.13327279923827,Belgium Jupiler League,67.13315523431979
466,467,665341,9999,57.211111111111116,72.60922659023578,Belgium Jupiler League,64.91016885067344
467,468,665761,9985,70.8206923052486,62.04552604258486,Belgium Jupiler League,66.43310917391673
468,469,665763,9987,67.6049207614997,67.4117865200753,Belgium Jupiler League,67.5083536407875
469,470,665767,9984,65.8135515231365,64.06483011937557,Belgium Jupiler League,64.93919082125603
470,471,665769,9994,60.383675037084124,73.40240168764001,Belgium Jupiler League,66.89303836236206
471,472,665771,8203,65.29857879494244,65.44465716276062,Belgium Jupiler League,65.37161797885153
472,473,665774,9999,50.50062001085019,64.33792400304777,Belgium Jupiler League,57.41927200694899
473,474,665775,9993,66.02338826503265,69.75636363636363,Belgium Jupiler League,67.88987595069814
474,475,665342,8342,68.64327970054953,65.02921076249953,Belgium Jupiler League,66.83624523152453
475,476,665343,9985,72.41567820313901,54.21043136430134,Belgium Jupiler League,63.313054783720176
476,477,665344,9997,59.76914600550965,56.95656565656565,Belgium Jupiler League,58.36285583103765
477,478,665345,10000,66.31004062839983,72.25957738775688,Belgium Jupiler League,69.28480900807835
478,479,665346,9991,68.06083248374304,65.05631842904569,Belgium Jupiler League,66.55857545639437
479,480,665348,10001,57.85846434267487,67.3356301106301,Belgium Jupiler League,62.59704722665249
480,481,665349,9993,66.4876105400838,65.38342727979092,Belgium Jupiler League,65.93551890993736
481,482,665352,8635,72.07928380746331,72.5183174993267,Belgium Jupiler League,72.298800653395
482,483,665353,9987,67.43204918862813,66.37744229923375,Belgium Jupiler League,66.90474574393093
